"listeners_cum","artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists_log","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm_log","key","mode","danceability_.","valence_.","energy_._boxcox","acousticness_.","liveness_.","speechiness_.","streams"
41040243.6666667,3,"Freitag",1,"December",7.65444322647011,58,17,119,19,2,266,4.47733681447821,"G","Minor",68,17,398.171089263681,15,11,5,19.4729005691679
58433542,1,"Freitag",1e-04,"April",7.83518375526675,39,56,91,59,3,486,5.13579843705026,"D","Major",50,37,568.543312163642,1e-04,12,5,18.967795322079
62740669,1,"Donnerstag",19,"January",9.47155012409685,61,49,98,2394,5,204,4.43081679884331,"E","Minor",62,24,364.945757143636,21,13,28,20.9396337195747
23173906,1,"Freitag",1e-04,"July",4.34380542185368,35,8,166,4,4,34,4.89783979995091,"E","Minor",81,53,406.626839296785,51,12,5,17.2020077527128
29614843,1,"Mittwoch",1,"April",5.5834963087817,27,6,40,6,6,202,5.06259503302697,"A#","Major",54,50,167.988141875647,61,10,6,18.1633288395934
43843890,3,"Freitag",6,"November",9.95688612926082,52,384,135,1034,37,312,4.75359019110636,"C#","Major",80,92,476.361168533288,4,10,3,21.1965294628739
19779859,1,"Freitag",6,"April",8.13827263853019,21,41,100,59,1,32,4.76217393479776,"C#","Major",61,45,381.438031027565,2,9,3,20.8339084474466
57289368,1,"Donnerstag",2,"March",8.34236350038058,44,98,108,327,17,153,4.7361984483945,"F","Minor",77,65,406.626839296785,2,7,5,20.5466239999633
53769202,1,"Samstag",12,"January",9.59825232083676,43,88,112,2163,5,519,4.68213122712422,"D","Minor",61,47,373.161576722668,1e-04,13,3,20.8748022688892
27728931.5,2,"Sonntag",11,"January",10.195858614474,32,69,113,695,1e-04,458,4.969813299576,"E","Minor",74,37,256.563882754578,7,21,10,20.8127458963971
6935746,1,"Freitag",1,"December",5.36129216570943,6,7,6,1e-04,1e-04,48,4.86753445045558,"F","Major",51,18,193.908654367517,76,11,3,19.0065728041127
24627608.5,2,"Donnerstag",1e-04,"June",4.06044301054642,18,2,106,4,2,184,4.75359019110636,"B","Major",77,79,324.792325459155,33,15,3,17.4805726419764
106608279,1,"Freitag",1e-04,"July",4.59511985013459,15,21,52,6,1,1e-04,4.79579054559674,"G","Major",65,49,458.584898382381,1e-04,17,4,17.4240505916398
20134953,1,"Sonntag",38,"February",10.639478682088,25,101,32,2655,1e-04,666,4.71849887129509,"G","Major",64,54,485.333333333333,36,11,6,20.9105348133852
47628061,1,"Dienstag",9,"December",9.96005690402402,36,80,65,476,1e-04,14,4.60517018598809,"A#","Minor",70,47,249.318221765503,30,6,33,21.3060402782829
13142576,1,"Samstag",1e-04,"February",8.00235954625271,59,74,102,145,18,925,5.01063529409626,"D#","Minor",55,30,458.584898382381,24,12,8,19.1220979285652
11372552.5,2,"Mittwoch",1e-04,"February",6.7945865808765,38,19,23,24,3,88,4.78749174278205,"F","Minor",84,96,398.171089263681,18,34,17,19.3292979535166
19252196.3333333,3,"Freitag",1e-04,"May",6.99759598298193,34,40,58,47,8,203,4.84418708645859,"B","Minor",82,89,521.774185913264,4,23,6,18.3246075561314
106608279,1,"Freitag",3,"July",8.8989119057944,22,25,81,61,1,44,4.49980967033027,"F","Major",51,42,316.950153486871,53,9,3,20.2242432425689
38516138,2,"Donnerstag",1e-04,"June",5.30330490805908,11,19,117,8,1,74,4.85203026391962,"A","Minor",75,79,332.697998527472,33,15,4,17.8380430105223
48528798.5,2,"Freitag",1e-04,"March",8.54090971803355,48,161,115,246,9,638,4.96284463025991,"A","Major",64,31,540.321318412485,4,8,4,19.1676093449454
25902460,1,"Freitag",1,"July",7.76046702921342,27,69,12,38,8,64,4.93447393313069,"G#","Major",74,68,373.161576722668,3,26,4,19.6529434040001
49255217,1,"Freitag",2,"June",6.12468339089421,24,8,116,4,3,2,4.52178857704904,"Keine Angabe","Major",81,39,309.172001029927,31,7,3,19.6156524314989
44158929,1,"Freitag",1,"August",8.14031554015999,38,45,69,52,4,3,4.55387689160054,"F","Major",87,57,271.260611193508,10,29,7,20.2155417667201
20462647.6666667,3,"Dienstag",12,"August",8.71177264560569,52,201,44,6551,2,1e-04,4.98360662170834,"D","Major",63,88,597.239680514897,3,10,8,21.3929057878969
55713835,1,"Sonntag",4,"November",9.99492661285291,34,437,115,1212,12,2,4.55387689160054,"Keine Angabe","Major",55,56,494.361054218179,12,34,5,21.5659445262273
58266627.5,2,"Freitag",6,"August",9.6179365410933,30,221,96,1078,2,136,4.74493212836325,"E","Minor",35,12,108.877844834367,93,10,3,21.5801122047509
42099833,2,"Mittwoch",1e-04,"June",6.7696419768525,32,25,59,32,5,88,4.85203026391962,"B","Major",78,59,348.697835759604,10,26,5,18.0187469384494
10779734,1,"Montag",1e-04,"May",6.11146733950268,33,10,126,7,1e-04,148,4.86753445045558,"E","Minor",82,69,503.443991379318,3,27,5,18.3827062123922
23173906,1,"Montag",1e-04,"January",7.48605261786314,27,26,124,15,1,22,4.84418708645859,"A","Minor",80,74,449.781505219462,36,11,4,19.881566328834
57511894,1,"Samstag",12,"January",9.14729407025855,46,24,122,282,3,368,5.01063529409626,"D","Major",42,20,531.020793741754,21,9,9,19.4673675173708
52127284,2,"Mittwoch",1e-04,"January",8.65242314067634,44,119,108,254,29,22,4.80402104473326,"D","Minor",78,50,332.697998527472,27,9,5,20.397501898502
47776446,1,"Freitag",16,"April",9.54574060563606,25,30,80,588,1,1,4.9416424226093,"Keine Angabe","Major",52,20,521.774185913264,1e-04,7,5,20.9197538325574
29348703,4,"Freitag",1e-04,"June",6.95749737087695,16,31,37,31,1e-04,189,4.9416424226093,"Keine Angabe","Major",63,22,263.878225553917,46,12,8,18.5093885578455
46253961.3333333,3,"Freitag",1,"December",7.42773884053289,46,24,90,30,1,176,4.77912349311153,"C#","Minor",75,48,256.563882754578,18,18,34,19.4368500337738
14124025.8,5,"Montag",1e-04,"May",5.2040066870768,8,3,88,1,1e-04,52,4.70048036579242,"G","Minor",76,96,406.626839296785,32,9,4,17.8086642697499
74886858,1,"Sonntag",6,"January",9.71691698145276,13,7,1e-04,2094,1e-04,1e-04,4.55387689160054,"G#","Major",60,17,200.579451308314,16,11,2,21.6630891230472
24696662,1,"Mittwoch",1,"July",7.755767170103,23,82,55,50,1e-04,9,4.88280192258637,"F#","Major",56,20,271.260611193508,45,32,3,20.3399287767175
57289368,1,"Dienstag",6,"January",9.85145714444174,23,250,121,2969,10,31,4.8283137373023,"A#","Minor",77,74,458.584898382381,4,23,11,21.6764823941936
7784370,4,"Freitag",1e-04,"May",5.64544689764324,7,6,9,26,1,66,4.82028156560504,"D#","Minor",84,65,235.035593728849,67,13,6,18.2112212992176
7451511.5,2,"Donnerstag",1e-04,"June",5.68017260901707,8,5,2,30,2,66,4.89034912822175,"B","Minor",93,68,348.697835759604,42,12,25,16.2967974141974
62740669,1,"Dienstag",21,"January",9.95612743986031,43,98,76,3889,5,1e-04,4.71849887129509,"G","Major",92,67,356.791023137316,1e-04,36,9,21.2466111771724
27289633,3,"Donnerstag",1e-04,"July",6.07993319509559,31,17,29,26,3,208,4.57471097850338,"Keine Angabe","Major",79,92,559.082880502025,5,6,5,16.2664628960641
81096492,2,"Donnerstag",7,"November",7.15070145759253,32,13,8,5,1e-04,1,4.49980967033027,"F","Minor",59,52,221.03583670215,38,10,11,20.2317534266155
17340.5,2,"Freitag",1,"May",8.72176535714501,38,71,113,99,13,28,4.38202663467388,"D#","Minor",65,27,381.438031027565,8,53,4,20.848898682514
16895458,1,"Donnerstag",19,"January",9.90423727142667,16,107,69,5239,1e-04,558,5.14749447681345,"A","Major",45,33,301.458399416165,6,8,3,20.8088952122448
13040473,1,"Freitag",4,"May",7.3178761986265,14,24,71,44,1,195,4.78749174278205,"E","Major",60,24,137.375194938991,73,31,3,19.8359211322269
17148458,1,"Freitag",1e-04,"January",6.289715570909,21,7,71,4,2,13,4.9416424226093,"G","Minor",74,96,476.361168533288,18,5,5,19.3604238855368
20863170,1,"Freitag",1e-04,"June",4.45434729625351,8,7,76,3,1,93,4.85203026391962,"A","Minor",81,90,449.781505219462,1,9,5,17.2772868819682
49255217,1,"Freitag",1e-04,"May",5.78074351579233,14,13,110,8,2,60,4.80402104473326,"Keine Angabe","Major",78,70,485.333333333333,57,10,5,18.3699518586771
16121626,2,"Freitag",13,"January",9.74905349922906,37,119,81,974,1,503,4.86753445045558,"Keine Angabe","Major",47,86,587.622000193027,8,5,24,20.969684304101
11817574,2,"Donnerstag",1e-04,"February",6.79570577517351,9,14,88,66,3,72,5.07517381523383,"A","Major",69,61,398.171089263681,33,31,20,19.2699835873029
63903238,1,"Mittwoch",11,"December",7.39141523467536,9,1e-04,1e-04,356,1e-04,1e-04,4.969813299576,"F","Major",73,87,389.774679049235,6,28,5,21.1162196603165
13449997,3,"Dienstag",1e-04,"April",6.3297209055227,14,4,14,12,5,56,5.25749537202778,"B","Major",50,85,249.318221765503,11,28,6,18.772008341283
71195330,2,"Freitag",1,"June",8.67778025606419,27,81,121,58,1,34,5.09375020080676,"Keine Angabe","Major",54,40,364.945757143636,1e-04,9,17,20.2434308894772
45362598,1,"Dienstag",10,"January",10.2824375549885,43,179,97,3394,11,153,4.80402104473326,"C#","Minor",66,48,398.171089263681,6,12,4,21.4221287430807
73566642,1,"Freitag",2,"March",8.6769282495374,24,107,38,95,1e-04,2,5.03695260241363,"D","Major",61,41,423.714713174103,21,40,6,20.8779855579819
46485732,1,"Freitag",4,"October",8.25816336153762,26,133,181,3,1e-04,2,4.76217393479776,"A","Minor",73,31,381.438031027565,6,11,4,20.6506573036107
35059193.5,2,"Montag",1e-04,"January",6.86797440897029,26,19,143,10,6,15,4.92725368515721,"G","Minor",78,89,503.443991379318,10,12,5,19.8932167556902
49371616,1,"Dienstag",19,"July",8.77292009262647,18,98,95,453,1e-04,454,4.56434819146784,"Keine Angabe","Major",86,74,476.361168533288,33,8,6,20.3042953600142
31678013,3,"Montag",7,"April",10.6749143489748,24,433,107,3631,1e-04,26,4.64439089914137,"C#","Major",77,36,332.697998527472,1,36,5,21.7216607870434
106608279,1,"Freitag",13,"January",8.42595471098197,16,24,101,113,1e-04,40,5.0998664278242,"G#","Major",45,24,324.792325459155,8,16,3,20.2479054683565
104681090,1,"Freitag",3,"March",9.44841194387463,13,197,115,112,1e-04,200,4.77068462446567,"Keine Angabe","Major",68,61,494.361054218179,2,50,3,21.187769232602
26799938,1,"Dienstag",13,"May",9.53249633228804,19,137,125,435,6,285,4.39444915467244,"B","Minor",68,51,309.172001029927,3,19,10,20.6729262676185
