"listeners_cum","artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","liveness_.","speechiness_.","streams"
106608279,1,"Freitag",1e-04,"July",148,24,32,93,8,2,5,82,"G#","Major",51,22,53,15,3,17.493788463729
42099833,2,"Freitag",1e-04,"June",1004,35,42,80,58,3,169,130,"C#","Minor",77,84,89,43,5,17.8094103174051
21820497,1,"Sonntag",3,"June",22543,63,386,144,707,28,2,81,"B","Major",76,53,53,9,9,21.6624820646868
23659368,1,"Freitag",1,"July",4511,36,70,58,109,18,230,94,"C#","Minor",51,14,59,25,3,20.4370953241791
34778147,1,"Montag",11,"May",16413,61,166,87,1056,1,2,124,"A#","Major",61,41,81,10,3,21.54865610531
39670700,2,"Mittwoch",1,"July",8506,45,94,65,164,14,176,128,"D","Major",62,55,78,23,4,21.0282216749053
66260015,1,"Dienstag",15,"January",33898,62,233,1e-04,4095,9,1e-04,138,"F","Minor",49,42,62,11,3,21.1888282366412
24696662,1,"Sonntag",1,"July",3246,23,94,85,68,1,84,132,"E","Major",58,27,48,12,3,20.2697842361828
39206969,2,"Donnerstag",1,"September",8576,42,216,108,331,26,154,131,"D","Major",71,24,47,27,9,20.9308293594737
33026625.5,2,"Dienstag",1,"December",3618,38,47,74,80,14,194,168,"F#","Minor",78,58,73,10,7,20.1883103625432
24832321,1,"Donnerstag",1e-04,"June",370,20,12,16,18,4,93,98,"C#","Major",68,40,79,30,6,17.5964591955232
21991652,1,"Mittwoch",48,"January",31123,55,300,65,1003,1,1e-04,102,"C#","Major",48,50,73,15,4,21.4209500461089
22725609.5,2,"Freitag",1,"April",2790,30,60,96,71,1e-04,115,101,"A#","Major",34,32,57,20,3,20.2140669692949
8877374,2,"Freitag",1e-04,"June",267,9,9,6,25,2,72,130,"F","Major",63,36,34,35,9,17.4970907370691
106608279,1,"Freitag",1e-04,"July",139,17,16,72,5,1e-04,8,142,"D","Major",50,20,64,12,3,17.4849250172778
54999955,2,"Freitag",2,"July",17050,36,492,99,798,31,1e-04,170,"C#","Major",59,48,76,10,5,21.7035989376449
45898309.5,2,"Freitag",1e-04,"March",2114,44,80,75,110,11,323,124,"G#","Minor",78,70,68,11,4,19.2255179375719
32564842,1,"Donnerstag",5,"November",17836,53,440,125,1800,1e-04,2,110,"C#","Major",50,45,41,11,3,21.7835674937316
56100628,2,"Freitag",1,"May",8870,43,104,120,141,26,49,92,"C#","Minor",91,43,71,9,8,21.0884350746068
10771067,1,"Montag",8,"June",6060,53,150,148,2703,22,1451,116,"D","Major",82,40,66,25,7,18.9243858750735
149917,2,"Mittwoch",11,"June",641,50,1,52,8,1e-04,1170,129,"A","Major",63,84,82,9,7,17.8768981395044
20581644,1,"Freitag",1e-04,"March",1446,12,57,97,35,1e-04,429,98,"G#","Major",71,67,60,12,3,18.8721312611825
15154113,1,"Freitag",1e-04,"March",804,25,29,76,24,1e-04,162,172,"C#","Minor",74,76,76,10,9,18.3707759378003
53113133.5,2,"Freitag",1e-04,"March",1962,38,28,89,29,5,82,150,"D","Major",68,14,76,10,4,19.338191723022
106608279,1,"Mittwoch",6,"November",4875,23,19,45,1e-04,1e-04,10,136,"A","Minor",62,19,53,6,4,20.3449768885294
37734115,1,"Freitag",3,"June",31,39,2,107,8,1e-04,1e-04,88,"C#","Minor",53,34,47,83,4,17.463879323264
37337289,2,"Freitag",1e-04,"May",2175,23,69,145,69,2,478,143,"D#","Major",83,69,44,10,33,18.7892408289596
57511894,1,"Freitag",1e-04,"March",2000,46,49,105,63,1,1e-04,100,"F#","Minor",49,17,35,11,3,18.6641565077979
65682546,1,"Freitag",1,"December",2839,25,58,156,42,1,236,143,"F","Major",56,39,55,11,13,19.8061916932854
