id,cl
140,57289368.0
141,7784370.0
142,7451511.5
143,62740669.0
144,27289633.0
145,81096492.0
146,17340.5
147,16895458.0
148,13040473.0
149,17148458.0
150,20863170.0
151,49255217.0
152,16121626.0
153,11817574.0
154,63903238.0
155,13449997.0
156,71195330.0
157,45362598.0
158,73566642.0
159,46485732.0
160,35059193.5
161,49371616.0
162,31678013.0
163,106608279.0
164,104681090.0
165,26799938.0
166,26815765.0
167,18831252.0
168,68919742.0
169,63903238.0
170,17994853.0
171,27493634.666666668
172,47776446.0
173,57289368.0
174,9194937.0
175,104681090.0
176,106608279.0
177,47776446.0
178,14133169.0
179,74886858.0
180,37806901.0
181,20403634.0
182,24685031.0
183,37679071.0
184,19302170.0
185,12913655.0
186,28630629.0
187,58433542.0
188,63903238.0
189,28514961.0
190,31399884.0
191,106608279.0
192,83335265.0
193,106608279.0
194,20444662.0
195,28383689.0
196,21279754.0
197,31261451.5
198,23173906.0
199,17087222.0
200,36137806.25
201,16897767.2
202,61969611.0
203,30820168.0
204,20686495.0
205,8517642.0
206,106608279.0
207,39980447.0
208,35269758.5
209,6915919.0
210,13888529.5
211,4079690.5
212,2868474.0
213,5219000.0
214,43677056.666666664
215,74886858.0
216,24076113.0
217,54627555.0
218,67994647.0
219,48789938.333333336
220,30753092.0
221,44158929.0
222,24763476.5
223,82060086.5
224,20361406.0
225,9078147.0
226,25515260.5
227,44158929.0
228,29928400.5
229,5493428.0
230,27741481.0
231,47047855.0
232,22114533.5
233,34647377.0
234,37942716.0
235,85386598.0
236,25089609.5
237,106608279.0
238,16883388.2
239,83335265.0
240,9876794.0
241,17693560.0
242,31147087.0
243,50435385.0
244,24426747.0
245,71195330.0
246,53769202.0
247,5677418.5
248,21718266.5
249,12090261.0
250,62740669.0
251,5036217.666666667
252,24896096.0
253,22199409.0
254,20698096.0
255,74886858.0
256,12302398.0
257,4117543.0
258,2604231.5
259,53300243.0
260,29200222.0
261,38069710.0
262,12121364.0
263,17251918.0
264,9099068.0
265,2517163.0
266,4676266.0
267,7348862.0
268,19107292.0
269,77193531.0
270,106608279.0
271,53300243.0
272,40451639.5
273,25065858.0
274,74886858.0
275,38959500.0
276,7108910.0
277,5329101.0
278,28095645.0
279,26150292.0
280,16424664.333333334
281,34135985.0
282,37056443.0
283,16779253.0
284,9883717.0
285,35321416.0
286,16471372.5
287,7511935.0
288,60387872.5
289,2774956.0
290,20280621.0
291,52507560.5
292,104681090.0
293,7511935.0
294,24627608.5
295,10700342.5
296,62740669.0
297,31371422.5
298,20698096.0
299,5007871.0
300,44158929.0
301,34102401.0
302,30976.0
303,23886756.0
304,30976.0
305,15623147.0
306,16969302.0
307,5105555.0
308,55713835.0
309,12428719.0
310,85061033.5
311,26410285.0
312,14875438.0
313,22906120.5
314,107146882.0
315,11015521.0
316,23984004.0
317,35952014.0
318,6276570.0
319,12305528.0
320,6573255.0
321,34807667.0
322,11660528.0
323,27741481.0
324,37679071.0
325,104681090.0
326,17689271.0
327,1861342.0
328,14172391.0
329,22771723.0
330,65682546.0
331,34807979.0
332,52876953.0
333,25696205.5
334,23984004.0
335,21493520.5
336,23984004.0
337,23984004.0
338,48841684.333333336
339,23984004.0
340,19013260.0
341,33829480.0
342,8399964.0
343,23984004.0
344,31029742.5
345,5881854.0
346,40896443.5
347,16167745.5
348,51522264.0
349,4089505.0
350,65682546.0
351,45178343.0
352,22877933.0
353,56615107.0
354,51269365.0
355,23984004.0
356,37056443.0
357,23984004.0
358,34807979.0
359,5886851.0
360,473027.0
361,64736848.5
362,83335265.0
363,37056443.0
364,3241592.0
365,28151111.75
366,35946623.0
367,7774822.0
368,67559504.5
369,9518417.0
370,36433268.0
371,104681090.0
372,17704717.0
373,23984004.0
374,8570706.0
375,6250395.5
376,13135899.0
377,83335265.0
378,48341078.0
379,23984004.0
380,28095645.0
381,41796562.666666664
382,34652194.0
383,9693140.0
384,22303562.0
385,6303360.5
386,65682546.0
387,78415607.0
388,26644725.0
389,10260784.0
390,36005453.5
391,4990369.0
392,33443544.0
393,19574016.5
394,24076113.0
395,12450560.0
396,22864229.666666668
397,51942160.0
398,13495728.0
399,67568121.0
400,56784654.0
401,24476511.0
402,17661600.333333332
403,63146867.5
404,11357053.0
405,20280621.0
406,50026310.666666664
407,66869858.0
408,6173543.0
409,10702800.5
410,32850614.0
411,20491403.0
412,11421637.0
413,24285296.0
414,3096480.0
415,18112297.0
416,65682546.0
417,22199409.0
418,33829480.0
419,11862701.0
420,13715221.0
421,55495546.333333336
422,83335265.0
423,51522264.0
424,11111382.0
425,22319230.0
426,7696647.0
427,23967136.5
428,9985090.0
429,74886858.0
430,6888210.0
431,7724586.0
432,65682546.0
433,46949295.0
434,71040155.0
435,20408823.0
436,9374601.5
437,107146882.0
438,33448691.333333332
439,240181.0
440,44225542.0
441,30048293.0
442,11972079.0
