"listeners_cum_sqrt","artist_count","released_weekday","years_since_release_boxcox","released_month","in_spotify_playlists_log","in_spotify_charts","in_apple_playlists_boxcox","in_apple_charts_boxcox","in_deezer_playlists_boxcox","in_deezer_charts","in_shazam_charts_log","bpm_sqrt","key","mode","danceability_._boxcox","valence_.","energy_.","acousticness_._boxcox","acousticness_.","liveness_._log","speechiness_._boxcox","streams"
4897.34662853264,"1","Dienstag",-4.20755340376944,"January",7.79152281915073,19,7.57302464450383,10.2090118241587,3.1101942303975,1,5.78382518232974,14.2828568570857,"F#","Major",249.318221765503,52,68,9.06227092175562,46,2.70805020110221,1.13415348204518,19.8788999022614
8177.39921980088,"1","Donnerstag",-4.20755340376944,"May",8.00235954625271,101,-3.1230142185066,-3.1230142185066,6.42606752253042,38,-9.21034037197618,10.4880884817015,"B","Minor",364.945757143636,78,85,0.798769776932235,2,3.49650756146648,1.2765537909333,18.6629125812072
5669.65951358633,"1","Donnerstag",-4.20755340376944,"July",6.76157276880406,78,8.64113527754986,11.1870765497029,4.78757636628314,1,5.68357976733868,11.2249721603218,"F","Minor",423.714713174103,35,84,-2.43720283921226,1e-04,2.39789527279837,1.38603106310711,16.9326265325473
6457.21309854337,"2","Mittwoch",-4.20755340376944,"June",5.5834963087817,34,4.8548535074386,12.626570265809,2.92392220780832,8,5.28320372873799,12.9614813968157,"F#","Major",278.710418212454,63,87,8.32345339593029,39,2.39789527279837,1.2765537909333,17.7723972863133
8403.63538396727,"3","Freitag",0,"December",8.70549681988774,88,10.4324927476184,11.6233268240407,7.33471111309857,23,3.29583686600433,9.89949493661167,"C#","Minor",398.171089263681,17,61,7.98240678157369,36,2.07944154167984,1.2765537909333,20.5536127076911
10325.1285222025,"1","Freitag",0,"October",9.1140497116579,56,13.9657605279757,11.4089667997296,6.66281583866928,9,5.73657229747919,9.8488578017961,"E","Major",340.666666666667,51,63,4.25480019260307,12,2.94443897916644,1.2765537909333,20.7230140822589
7591.76705385512,"2","Donnerstag",-4.20755340376944,"February",8.36264243156764,49,10.5051373293819,10.7871732854357,6.84541762467216,18,5.86929691313377,13.4164078649987,"E","Minor",406.626839296785,61,63,10.9390920852253,67,2.19722457733622,2.10665318827289,20.2436003103346
4103.48741925694,"8","Donnerstag",-4.20755340376944,"June",7.0475172213573,31,5.09235808503701,6.18219544910834,4.22813219821873,7,5.21493575760899,10.9544511501033,"Keine Angabe","Major",485.333333333333,63,68,4.02374658819718,11,2.39789527279837,1.13415348204518,18.6286896460683
4734.46549253451,"2","Freitag",-4.20755340376944,"April",6.51025834052315,34,4.72981827162529,10.2468574715245,3.74108810316637,9,5.35658627467201,12.2474487139159,"F#","Major",316.950153486871,39,73,8.09792149943452,37,2.39789527279837,0.935923022250452,19.0569056698434
10325.1285222025,"1","Mittwoch",2.7592278695768,"January",9.34434665182392,53,11.7721616688203,10.7871732854357,8.25065206471941,2,4.39444915467244,9.79795897113271,"F","Major",432.346035225553,57,68,3.52056171320173,9,2.56494935746154,1.38603106310711,21.0277748453307
