"listeners_cum_sqrt","artist_count","released_weekday","released_month","in_spotify_playlists_log","in_spotify_charts","in_apple_playlists_boxcox","in_apple_charts_boxcox","in_deezer_playlists_boxcox","in_deezer_charts","in_shazam_charts_log","bpm_sqrt","key","mode","danceability_._boxcox","valence_.","energy_.","acousticness_._boxcox","acousticness_.","liveness_._log","speechiness_._boxcox","streams"
3281.93037707993,"1","Montag","June",8.70946507906336,53,11.6533704349331,11.5931417351632,12.0386305504939,22,7.28000825288419,10.770329614269,"D","Major",494.361054218179,40,66,8.32345339593029,39,3.2188758248682,1.47403391565585,18.9243858750735
387.191167254626,"2","Mittwoch","June",6.46302945692067,50,0,7.57302464450383,2.31144413344916,1e-04,7.0647590277918,11.3578166916005,"A","Major",332.697998527472,84,82,11.1766339918896,70,2.19722457733622,1.47403391565585,17.8768981395044
3625.26909346051,"1","Samstag","February",8.00235954625271,59,8.7907318102046,10.0159760017903,6.44889772283888,18,6.82979373751242,12.2474487139159,"D#","Minor",271.260611193508,30,78,6.41301228983002,24,2.484906649788,1.54704422910618,19.1220979285652
4523.56581323481,"3","Dienstag","August",8.71177264560569,52,13.028710903883,7.03990958496152,14.0785738181886,2,-9.21034037197618,12.0830459735946,"D","Major",332.697998527472,88,93,1.3796139347884,3,2.30258509299405,1.54704422910618,21.3929057878969
7583.65967063396,"1","Samstag","January",9.14729407025855,46,5.31519311320155,10.7526345706633,7.58024450136616,3,5.90808293816893,12.2474487139159,"D","Major",180.794072888753,20,86,5.94943611308857,21,2.19722457733622,1.60906047342738,19.4673675173708
8653.71931599356,"1","Sonntag","January",9.71691698145276,13,2.64263320840332,-3.1230142185066,11.4831355032507,1e-04,-9.21034037197618,9.74679434480896,"G#","Major",309.172001029927,17,45,5.07858283255199,16,2.39789527279837,0.625825345479215,21.6630891230472
2729.74568412517,"2","Donnerstag","June",5.68017260901707,8,2.06885532230921,0.770481377816388,4.05115826483646,2,4.18965474202643,11.5325625946708,"B","Minor",597.239680514897,68,65,8.64909779279055,42,2.484906649788,2.06423070752275,16.2967974141974
5223.94802807225,"3","Donnerstag","July",6.07993319509559,31,4.46520877893817,5.8203976445416,3.85151685421242,3,5.33753807970132,9.8488578017961,"Keine Angabe","Major",467.444905978621,92,89,2.2591348467897,5,1.79175946922805,1.2765537909333,16.2664628960641
9005.35907113092,"2","Donnerstag","November",7.15070145759253,32,3.86217948140527,2.88688661024538,1.74618943088019,1e-04,0,9.48683298050514,"F","Minor",301.458399416165,52,48,8.21157782028964,38,2.30258509299405,1.70980100924724,20.2317534266155
7993.95008740985,"1","Mittwoch","December",7.39141523467536,9,-3.1230142185066,-3.1230142185066,7.994716122985,1e-04,-9.21034037197618,12,"F","Major",415.141515605453,87,70,2.61918127769805,6,3.3322045101752,1.2765537909333,21.1162196603165
